asset_name,asset_class,precio_inicial,precio_final,retorno_total_pct,volatilidad_anual_pct,sharpe_ratio,max_drawdown_pct,dias_operados
BITCOIN,crypto,11878.37,92643.21,679.93,51.13,0.89,-76.63,1594
ETHEREUM,crypto,416.44,3356.39,705.97,66.38,0.83,-79.35,1594
BINANCECOIN,crypto,23.09,704.15,2949.23,74.93,1.08,-70.84,1594
CARDANO,crypto,0.13,0.86,543.52,80.85,0.76,-91.85,1594
SOLANA,crypto,3.21,191.03,5854.24,104.36,1.14,-96.27,1594
DOGECOIN,crypto,0.0,0.31,8963.72,180.93,0.89,-92.26,1594
POLKADOT,crypto,2.9,6.7,130.91,89.71,0.58,-93.23,1594
AAPL,stock,115.05,251.31,118.44,27.99,0.78,-30.91,1097
TSLA,stock,133.46,417.41,212.77,61.8,0.73,-73.63,1097
MSFT,stock,205.74,422.51,105.36,26.44,0.76,-37.15,1097
AMZN,stock,164.87,221.3,34.23,35.29,0.37,-56.15,1097
GOOGL,stock,78.27,190.62,143.53,30.73,0.82,-44.32,1097
NVDA,stock,12.1,137.46,1035.99,52.2,1.33,-66.34,1097
META,stock,267.36,589.86,120.62,44.25,0.64,-76.74,1097
INTC,stock,44.13,19.82,-55.09,39.96,-0.26,-69.57,1097
AMD,stock,82.77,122.44,47.93,49.61,0.43,-65.45,1097
QCOM,stock,98.91,151.97,53.64,38.32,0.45,-44.29,1097
